CRASH_RECORD_ID,RD_NO,CRASH_DATE_EST_I,CRASH_DATE,POSTED_SPEED_LIMIT,TRAFFIC_CONTROL_DEVICE,DEVICE_CONDITION,WEATHER_CONDITION,LIGHTING_CONDITION,FIRST_CRASH_TYPE,TRAFFICWAY_TYPE,LANE_CNT,ALIGNMENT,ROADWAY_SURFACE_COND,ROAD_DEFECT,REPORT_TYPE,CRASH_TYPE,INTERSECTION_RELATED_I,NOT_RIGHT_OF_WAY_I,HIT_AND_RUN_I,DAMAGE,DATE_POLICE_NOTIFIED,PRIM_CONTRIBUTORY_CAUSE,SEC_CONTRIBUTORY_CAUSE,STREET_NO,STREET_DIRECTION,STREET_NAME,BEAT_OF_OCCURRENCE,PHOTOS_TAKEN_I,STATEMENTS_TAKEN_I,DOORING_I,WORK_ZONE_I,WORK_ZONE_TYPE,WORKERS_PRESENT_I,NUM_UNITS,MOST_SEVERE_INJURY,INJURIES_TOTAL,INJURIES_FATAL,INJURIES_INCAPACITATING,INJURIES_NON_INCAPACITATING,INJURIES_REPORTED_NOT_EVIDENT,INJURIES_NO_INDICATION,INJURIES_UNKNOWN,CRASH_HOUR,CRASH_DAY_OF_WEEK,CRASH_MONTH,LATITUDE,LONGITUDE,LOCATION
7b4700df143a2170b338fdf28c3ccb7c3aaa4527b0734e2e63cdfcee6e4588d274d92710ade6272b6d688f0e81675980eebe05574f2faa287d54a81f8b2c0856,JB529385,,43430.41667,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,SNOW,DAYLIGHT,ANGLE,NOT DIVIDED,2,STRAIGHT AND LEVEL,SNOW OR SLUSH,NO DEFECTS,,NO INJURY / DRIVE AWAY,Y,,,"OVER $1,500",43430.41667,WEATHER,UNABLE TO DETERMINE,8300,S,STONY ISLAND AVE,412,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,10,2,11,41.74415164,-87.58594507,POINT (-87.585945066953 41.744151639042)
7b3545fb91352d7fc46ba142d9044a5508671db4d01d0226f0a56f7774954d7d98030e5c47efb4aec51122cc57d15a820e826eb99e4559ebae383c5715f637e6,JD298172,,44027.48958,25,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,PEDALCYCLIST,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,Y,,,$500 OR LESS,44027.49306,DISREGARDING TRAFFIC SIGNALS,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,298,S,CICERO AVE,1533,,,,,,,2,NONINCAPACITATING INJURY,1,0,0,1,0,1,0,11,4,7,41.87685023,-87.74529389,POINT (-87.745293891422 41.876850225901)
79cac9c36c74f5920dbb3353ccf3e71bbcaada72cd79cbc07c2ed0f36cc7df500fa894353d0aeea7449288bd9ce813ffb84f6290d27798213322ce432d695a32,JA441727,,42991.75,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,PARKED MOTOR VEHICLE,PARKING LOT,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,Y,"OVER $1,500",43000.39583,UNABLE TO DETERMINE,UNABLE TO DETERMINE,225,W,DIVISION ST,1823,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,1,0,18,4,9,41.90372828,-87.63556801,POINT (-87.635568012756 41.903728284391)
0362b3f8ddb8589dfe889356efbc2ad213efe2031556f0abd72bea506d6f5e9735a5fda03d72b2c723a2066c8655789d4648617b5b11eda239aa068c036d2ed6,JF318271,,44757.36389,30,NO CONTROLS,NO CONTROLS,RAIN,DAYLIGHT,REAR END,DIVIDED - W/MEDIAN (NOT RAISED),,STRAIGHT AND LEVEL,WET,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"OVER $1,500",44757.39583,UNABLE TO DETERMINE,UNABLE TO DETERMINE,3458,N,CICERO AVE,1634,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,3,0,8,6,7,41.94419899,-87.74715728,POINT (-87.747157281564 41.944198992304)
03d3679ef44bb8aa0f2060cb0376f3eeb1d9dbb21973222125f2cb361125d472aefabb94cc9baa198af261961134d62be5c5017504616eb19def04b9de3607d8,JF318956,,44757.67361,30,STOP SIGN/FLASHER,FUNCTIONING PROPERLY,RAIN,DAYLIGHT,PEDESTRIAN,FOUR WAY,,STRAIGHT AND LEVEL,WET,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,Y,,Y,$500 OR LESS,44757.77153,FAILING TO YIELD RIGHT-OF-WAY,UNABLE TO DETERMINE,1900,S,LAFLIN ST,1235,,,,,,,2,NONINCAPACITATING INJURY,1,0,0,1,0,1,0,16,6,7,41.85597393,-87.66386012,POINT (-87.663860117648 41.855973928536)
049099b67a37d2ecd36f411630142ad5e1a7efb96631e4e7ffbb3e7dd463c2bbe3d303537fc058ed79f965060fd9735291c775f9618cef39a4b7da9bcfd44d79,JF318460,,44757.49653,35,TRAFFIC SIGNAL,NOT FUNCTIONING,RAIN,DAYLIGHT,TURNING,NOT DIVIDED,,STRAIGHT AND LEVEL,WET,UNKNOWN,ON SCENE,NO INJURY / DRIVE AWAY,,,,"OVER $1,500",44757.50347,IMPROPER TURNING/NO SIGNAL,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,4400,W,47TH ST,815,,Y,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,11,6,7,41.80785605,-87.73343455,POINT (-87.733434550527 41.807856044504)
04ca492845376a43f44d2342345c91ef58cb7ff7026387b2f056de4a8828c5876518058bf0e8aa10c0f17fdb65a1bb7eac0e8c2c83615b4fa1e7ec2a6e63e2aa,JF319187,,44757.5625,30,NO CONTROLS,NO CONTROLS,RAIN,DAYLIGHT,PARKED MOTOR VEHICLE,NOT DIVIDED,,STRAIGHT AND LEVEL,WET,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,$500 OR LESS,44758.01042,NOT APPLICABLE,NOT APPLICABLE,318,S,FEDERAL ST,113,,Y,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,1,0,13,6,7,41.87762624,-87.62986197,POINT (-87.629861971218 41.877626240947)
102cc8da45c51359b8c22132c471e4e512e258ac087af6cbcae94001f07eb1052f106fd59c6a93d133ec07cb718c06f102375fcf982b92897319fa8354c48bb6,JF375927,,44802.41667,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",TURNING,FOUR WAY,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,Y,,,"OVER $1,500",44803.40833,UNABLE TO DETERMINE,NOT APPLICABLE,232,W,GARFIELD BLVD,935,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,10,2,8,41.79464233,-87.63184342,POINT (-87.631843416063 41.794642330446)
05154271961487f57d37c3e27f241627a4e11cf1fdc986bddad546b08d1f2e26657287f7333ee005667d382afcaf32b9526acb3567964ec032ba437bfbd8cc0a,JF319114,,44757.875,30,UNKNOWN,UNKNOWN,RAIN,DARKNESS,REAR TO REAR,DIVIDED - W/MEDIAN (NOT RAISED),,STRAIGHT AND LEVEL,WET,UNKNOWN,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,,"OVER $1,500",44757.89931,NOT APPLICABLE,NOT APPLICABLE,401,N,WABASH AVE,1834,,Y,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,21,6,7,41.88928401,-87.62654855,POINT (-87.626548547941 41.889284013529)
1076d1e430d73cb310dbd077d41d37a94b01debef38aa38732ce68b498889cd228bad1a1584aab141c724642c5b29ee68976662d537a31b1e6d52d839d1b3874,JF375451,,44802.72917,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,TURNING,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"OVER $1,500",44802.85764,UNABLE TO DETERMINE,UNABLE TO DETERMINE,2010,S,CANALPORT AVE,1235,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,17,2,8,41.85559233,-87.64494115,POINT (-87.644941152166 41.855592325647)
7b1c666d9d6e1e824959b4d61ba3322c6b739f41d6b58c8cce133f2ffd76cf668bdd73005a7bab45e68dcaebe8542953794fcc9a1d15a164d89fdb9d55fb4c1f,JB163972,,43155.60903,25,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,SIDESWIPE OPPOSITE DIRECTION,DIVIDED - W/MEDIAN (NOT RAISED),4,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,N,"$501 - $1,500",43155.67708,UNABLE TO DETERMINE,UNABLE TO DETERMINE,520,S,MICHIGAN AVE,123,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,14,7,2,41.87525983,-87.62439667,POINT (-87.624396673836 41.875259825819)
79704e1b747fbf5f740f1255785934dfe659ff910d4782b606f87f714d6a7292cbced2d9f08e091569f06bdd38051ba0bb15ccb125e1f32f16ed5620e05ba305,JC315780,,43637.60903,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,TURNING,DIVIDED - W/MEDIAN (NOT RAISED),,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,Y,"OVER $1,500",43637.61319,FOLLOWING TOO CLOSELY,UNABLE TO DETERMINE,1198,S,STATE ST,123,,,,,,,2,"REPORTED, NOT EVIDENT",1,0,0,0,1,2,0,14,6,6,41.86750235,-87.62756808,POINT (-87.627568081623 41.867502349701)
7994103871b2b7fc4b60850d2d59f989f083424ce5578f5050e1d83b107dec2a420a49ac73867556f6caf853357a566dac7d7fa6376d1aa76732ad26aa5cfc72,JA425956,,42986.65278,30,STOP SIGN/FLASHER,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,REAR END,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,,NO INJURY / DRIVE AWAY,Y,,Y,"OVER $1,500",42988.59028,FOLLOWING TOO CLOSELY,NOT APPLICABLE,3003,W,GRANVILLE AVE,2413,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,15,6,9,41.99378229,-87.70451197,POINT (-87.704511972212 41.993782290214)
7b233fb34d2ba8e1b27cca78069b39aff24fc4d7ea6f5a12f2a20574d762dd56a98017598bbffc9cabda4425df24654dc726f2a384096f8127d07215bc665b00,JC174024,,43529.33333,25,STOP SIGN/FLASHER,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,REAR END,NOT DIVIDED,4,STRAIGHT AND LEVEL,SNOW OR SLUSH,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,N,,,$500 OR LESS,43529.33542,NOT APPLICABLE,UNABLE TO DETERMINE,5331,W,FULLERTON AVE,2515,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,8,3,3,41.92394908,-87.75989566,POINT (-87.759895654932 41.923949079699)
7b3850c200a1f73cc7c800e48ece28907dc6599da0d905a94b842b362ca7163041da962602dbc4bb6560dd9fe15395b42d971b1dacf6894ff2fff3d8bc59f7f5,JC233284,,43577.0625,30,NO CONTROLS,UNKNOWN,CLEAR,"DARKNESS, LIGHTED ROAD",FIXED OBJECT,DIVIDED - W/MEDIAN BARRIER,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,,"OVER $1,500",43577.07083,UNDER THE INFLUENCE OF ALCOHOL/DRUGS (USE WHEN ARREST IS EFFECTED),UNABLE TO DETERMINE,804,S,ASHLAND AVE,1231,,,,,,,1,NO INDICATION OF INJURY,0,0,0,0,0,1,0,1,2,4,41.87145365,-87.66667152,POINT (-87.666671516381 41.87145364917)
054e9bad1e1f1194f14c2abf4b427336ddc18436a3549c31eb163b36c63c02ec44583baa6a69d818b909ced4492a3cc30eccc962993141c961d6fd852885ab71,JF318760,,44757.67222,30,NO CONTROLS,NO CONTROLS,RAIN,DAYLIGHT,PARKED MOTOR VEHICLE,NOT DIVIDED,,STRAIGHT AND LEVEL,WET,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,,Y,"OVER $1,500",44757.67569,UNABLE TO DETERMINE,UNABLE TO DETERMINE,7804,S,KENWOOD AVE,411,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,1,0,16,6,7,41.7530697,-87.592022,POINT (-87.592022001358 41.753069695475)
056c4774989f1d62d278957b3b4529808b80bf9de44ce7cde157c4fb7012d18ee7fbe420f639ec3b65bd0010d702af8d96a050ecfd7720e7d8eeec3c8132c5b6,JF318680,,44757.62986,30,NO CONTROLS,NO CONTROLS,RAIN,DAYLIGHT,REAR END,NOT DIVIDED,,STRAIGHT AND LEVEL,WET,UNKNOWN,ON SCENE,NO INJURY / DRIVE AWAY,,,Y,"OVER $1,500",44757.63333,FOLLOWING TOO CLOSELY,UNABLE TO DETERMINE,3047,W,CERMAK RD,1033,,,,,,,3,NO INDICATION OF INJURY,0,0,0,0,0,5,0,15,6,7,41.85169723,-87.70219402,POINT (-87.702194020444 41.851697232129)
05c1521b0672d2f5435ef8f095adf57576408c557ee69cea5d5458c0a8c3f6d927a8341d66af20ae988cc28cee11e732085604906e1b80e50d17e9299928084a,JF318600,,44757.54167,30,UNKNOWN,UNKNOWN,CLEAR,DAYLIGHT,ANGLE,T-INTERSECTION,,STRAIGHT AND LEVEL,DRY,UNKNOWN,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"$501 - $1,500",44757.58333,NOT APPLICABLE,NOT APPLICABLE,939,W,18TH ST,1235,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,13,6,7,41.85793151,-87.65022464,POINT (-87.650224637803 41.857931511152)
05c296dfb5d993e07cfa8bced118fc6c19a0feb2e113b469887657c70ce8c626f2b8e52dcd4e56372ff6a0d9bc5d5a74a8b33f9ae55632d236d325def36bc2fa,JF318941,,44757.76181,30,UNKNOWN,UNKNOWN,FREEZING RAIN/DRIZZLE,DAYLIGHT,FIXED OBJECT,FOUR WAY,,STRAIGHT AND LEVEL,WET,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,Y,,,"OVER $1,500",44757.76181,UNABLE TO DETERMINE,NOT APPLICABLE,1502,N,CICERO AVE,2533,,,,,,,1,NO INDICATION OF INJURY,0,0,0,0,0,2,0,18,6,7,41.90795415,-87.74621338,POINT (-87.74621337996 41.907954150582)
7951cf0b6a887efb556cd089c7ce530185446c9e0ff5cdcd8d2762e8b786973529784fb633b22b50514c2912a685227bcbc172358b8cf829d9621ddccad03d8c,JA562045,,43093.67708,30,UNKNOWN,UNKNOWN,SNOW,DAWN,REAR END,NOT DIVIDED,2,STRAIGHT AND LEVEL,SNOW OR SLUSH,UNKNOWN,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"OVER $1,500",43093.70903,TURNING RIGHT ON RED,NOT APPLICABLE,2797,N,LARAMIE AVE,2521,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,3,0,16,1,12,41.9313572,-87.75627167,POINT (-87.756271665065 41.93135719813)
7a08f16969cfdb1172c03777fbb9ac0e4da2cd4d1ef85bebf70b1236097fad66080895fe4e1651fa5120ca9d0de0f9fee1b1ac345ebb1caf3352dca96418db31,JE233086,,44330.54167,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,PARKED MOTOR VEHICLE,NOT DIVIDED,,STRAIGHT AND LEVEL,UNKNOWN,UNKNOWN,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,Y,"OVER $1,500",44333.58333,UNABLE TO DETERMINE,UNABLE TO DETERMINE,566,S,KILPATRICK AVE,1131,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,1,0,13,6,5,41.87324519,-87.74271378,POINT (-87.742713782372 41.873245184667)
7be4779908b2283a50cc350ee4b700b6868947abb489b5f3a6749d9dbb0e259005bba03cdc3fc12e143e366dd16b6deb13a82a4ac7e478dcbc373262e4afb41f,JB506955,,43411.35417,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,PARKED MOTOR VEHICLE,NOT DIVIDED,2,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,Y,"OVER $1,500",43411.47222,UNABLE TO DETERMINE,UNABLE TO DETERMINE,401,W,WRIGHTWOOD AVE,1935,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,1,0,8,4,11,41.93124432,-87.63931902,POINT (-87.639319017769 41.931244318375)
79f6316976efd1696693e5098fc66d01feb9863e5c8fe77b2e5b214be641d83c59b3436163502968ceea617ea3782ff79f1513055c91bc13df3252dd01cc7a31,JE122789,,44221.47917,10,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,REAR TO FRONT,ONE-WAY,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"OVER $1,500",44221.5,IMPROPER BACKING,UNABLE TO DETERMINE,10343,S,PULASKI RD,2211,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,11,2,1,41.70459452,-87.72071304,POINT (-87.720713035828 41.704594523243)
07baf8ac46d6b88c627f3546e9d805a46824a1b3243f22b96932dd16d58541cb0ff7e06b7a91180068f0f45391f7a0969d9c2634cbe6ed06bb446006e749f42f,JF318925,,44757.7625,30,NO CONTROLS,NO CONTROLS,RAIN,DAYLIGHT,OTHER NONCOLLISION,NOT DIVIDED,,STRAIGHT AND LEVEL,WET,OTHER,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,,"$501 - $1,500",44757.7625,UNABLE TO DETERMINE,NOT APPLICABLE,1676,W,OGDEN AVE,1224,,,,,,,1,NO INDICATION OF INJURY,0,0,0,0,0,1,0,18,6,7,41.87920456,-87.66899491,POINT (-87.668994911406 41.879204554691)
094ef43765acb4d40414cf25170b0f18b9789567acf4fa709172f372a26131156ec31f5b27546f79bdcd4f2bcfec6d15c0d13f4d0dc01fd0dd875aad2c9a9ff8,JF318676,,44757.58333,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,RAIN,DAYLIGHT,TURNING,DIVIDED - W/MEDIAN (NOT RAISED),,STRAIGHT AND LEVEL,WET,UNKNOWN,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,Y,,,"OVER $1,500",44757.625,FAILING TO YIELD RIGHT-OF-WAY,FAILING TO REDUCE SPEED TO AVOID CRASH,5600,W,DIVISION ST,2531,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,14,6,7,41.90225353,-87.76571689,POINT (-87.765716888859 41.902253534164)
